gt,set
The metabolism of DB04855 can be decreased when combined with DB00246.,validation
The metabolism of DB00758 can be decreased when combined with DB00281.,training
The metabolism of DB00758 can be decreased when combined with DB00283.,testing
The metabolism of DB00396 can be decreased when combined with DB00976.,validation
The metabolism of DB00758 can be decreased when combined with DB00285.,testing
The metabolism of DB00554 can be decreased when combined with DB12332.,training
The metabolism of DB05351 can be decreased when combined with DB00622.,training
The metabolism of DB13874 can be decreased when combined with DB00705.,training
The metabolism of DB00277 can be decreased when combined with DB01211.,training
The metabolism of DB00358 can be decreased when combined with DB00176.,training
The metabolism of DB13874 can be decreased when combined with DB01075.,validation
The metabolism of DB00911 can be decreased when combined with DB01167.,training
The metabolism of DB13874 can be decreased when combined with DB01072.,training
The metabolism of DB00972 can be decreased when combined with DB00619.,training
The metabolism of DB05039 can be decreased when combined with DB06636.,training
The metabolism of DB00390 can be decreased when combined with DB01026.,testing
The metabolism of DB01129 can be decreased when combined with DB09074.,testing
The metabolism of DB00358 can be decreased when combined with DB05521.,training
The metabolism of DB00370 can be decreased when combined with DB00622.,training
The metabolism of DB09570 can be decreased when combined with DB01263.,training
The metabolism of DB01195 can be decreased when combined with DB06595.,training
The metabolism of DB01223 can be decreased when combined with DB01155.,training
The metabolism of DB00567 can be decreased when combined with DB00289.,validation
The metabolism of DB08896 can be decreased when combined with DB01232.,training
The metabolism of DB00778 can be decreased when combined with DB01601.,validation
The metabolism of DB00567 can be decreased when combined with DB00283.,training
The metabolism of DB00567 can be decreased when combined with DB00285.,training
The metabolism of DB11915 can be decreased when combined with DB00705.,training
The metabolism of DB01283 can be decreased when combined with DB06413.,training
The metabolism of DB00805 can be decreased when combined with DB01012.,testing
The metabolism of DB11915 can be decreased when combined with DB01075.,training
The metabolism of DB00952 can be decreased when combined with DB01626.,testing
The metabolism of DB00402 can be decreased when combined with DB00705.,training
The metabolism of DB00655 can be decreased when combined with DB00544.,training
The metabolism of DB11915 can be decreased when combined with DB01072.,training
The metabolism of DB00420 can be decreased when combined with DB00220.,training
The metabolism of DB00420 can be decreased when combined with DB00224.,validation
The metabolism of DB00420 can be decreased when combined with DB00227.,training
The metabolism of DB00570 can be decreased when combined with DB00270.,training
The metabolism of DB04841 can be decreased when combined with DB05219.,validation
The metabolism of DB00842 can be decreased when combined with DB01263.,training
The metabolism of DB08896 can be decreased when combined with DB06636.,training
The metabolism of DB00852 can be decreased when combined with DB00468.,testing
The metabolism of DB00567 can be decreased when combined with DB00752.,testing
The metabolism of DB09076 can be decreased when combined with DB09238.,training
The metabolism of DB00454 can be decreased when combined with DB00661.,training
The metabolism of DB06700 can be decreased when combined with DB00619.,training
The metabolism of DB05351 can be decreased when combined with DB05812.,training
The metabolism of DB09183 can be decreased when combined with DB00363.,training
The metabolism of DB00514 can be decreased when combined with DB00263.,training
The metabolism of DB01171 can be decreased when combined with DB00857.,training
The metabolism of DB00655 can be decreased when combined with DB00398.,training
The metabolism of DB00850 can be decreased when combined with DB00320.,validation
The metabolism of DB00612 can be decreased when combined with DB00582.,validation
The metabolism of DB01223 can be decreased when combined with DB00208.,training
The metabolism of DB01223 can be decreased when combined with DB00201.,training
The metabolism of DB01621 can be decreased when combined with DB00270.,validation
The metabolism of DB01621 can be decreased when combined with DB00277.,training
The metabolism of DB01223 can be decreased when combined with DB00207.,validation
The metabolism of DB01195 can be decreased when combined with DB00857.,training
The metabolism of DB00925 can be decreased when combined with DB00254.,testing
The metabolism of DB00925 can be decreased when combined with DB00257.,training
The metabolism of DB08918 can be decreased when combined with DB08880.,validation
The metabolism of DB06217 can be decreased when combined with DB01012.,training
The metabolism of DB00624 can be decreased when combined with DB01101.,testing
The metabolism of DB00216 can be decreased when combined with DB00446.,training
The metabolism of DB00216 can be decreased when combined with DB00440.,training
The metabolism of DB00624 can be decreased when combined with DB01104.,testing
The metabolism of DB01171 can be decreased when combined with DB00582.,testing
The metabolism of DB00674 can be decreased when combined with DB01175.,training
The metabolism of DB00622 can be decreased when combined with DB01012.,testing
The metabolism of DB01036 can be decreased when combined with DB06636.,training
The metabolism of DB09078 can be decreased when combined with DB01601.,testing
The metabolism of DB00778 can be decreased when combined with DB00263.,training
The metabolism of DB05039 can be decreased when combined with DB00254.,training
The metabolism of DB01559 can be decreased when combined with DB08865.,training
The metabolism of DB01020 can be decreased when combined with DB01167.,testing
The metabolism of DB06176 can be decreased when combined with DB09074.,testing
The metabolism of DB00619 can be decreased when combined with DB00446.,validation
The metabolism of DB00682 can be decreased when combined with DB05219.,testing
The metabolism of DB00307 can be decreased when combined with DB12332.,training
The metabolism of DB00705 can be decreased when combined with DB00227.,training
The metabolism of DB00296 can be decreased when combined with DB00503.,training
The metabolism of DB01069 can be decreased when combined with DB00496.,training
The metabolism of DB04841 can be decreased when combined with DB06290.,training
The metabolism of DB01200 can be decreased when combined with DB01118.,training
The metabolism of DB01016 can be decreased when combined with DB01072.,training
The metabolism of DB00843 can be decreased when combined with DB05521.,training
The metabolism of DB09555 can be decreased when combined with DB01118.,training
The metabolism of DB09555 can be decreased when combined with DB00243.,training
The metabolism of DB12070 can be decreased when combined with DB00857.,validation
The metabolism of DB09555 can be decreased when combined with DB00246.,training
The metabolism of DB01023 can be decreased when combined with DB00263.,validation
The metabolism of DB00208 can be decreased when combined with DB00752.,testing
The metabolism of DB00297 can be decreased when combined with DB00196.,training
The metabolism of DB00624 can be decreased when combined with DB04868.,training
The metabolism of DB00744 can be decreased when combined with DB01241.,training
The metabolism of DB09183 can be decreased when combined with DB01104.,validation
The metabolism of DB01392 can be decreased when combined with DB00502.,training
The metabolism of DB01392 can be decreased when combined with DB00501.,training
The metabolism of DB00395 can be decreased when combined with DB01241.,training
The metabolism of DB00987 can be decreased when combined with DB00705.,training
The metabolism of DB00359 can be decreased when combined with DB00176.,training
The metabolism of DB00324 can be decreased when combined with DB01319.,training
The metabolism of DB00898 can be decreased when combined with DB00270.,training
The metabolism of DB06282 can be decreased when combined with DB01263.,testing
The metabolism of DB00250 can be decreased when combined with DB01259.,training
The metabolism of DB00678 can be decreased when combined with DB06636.,training
The metabolism of DB00869 can be decreased when combined with DB00263.,training
The metabolism of DB05109 can be decreased when combined with DB12332.,training
The metabolism of DB00216 can be decreased when combined with DB09238.,training
The metabolism of DB06203 can be decreased when combined with DB04871.,training
The metabolism of DB01244 can be decreased when combined with DB00224.,testing
The metabolism of DB00694 can be decreased when combined with DB01118.,training
The metabolism of DB00549 can be decreased when combined with DB09167.,training
The metabolism of DB09166 can be decreased when combined with DB00254.,training
The metabolism of DB01058 can be decreased when combined with DB04868.,training
The metabolism of DB09166 can be decreased when combined with DB00257.,testing
The metabolism of DB06770 can be decreased when combined with DB00199.,validation
The metabolism of DB05109 can be decreased when combined with DB09039.,testing
The metabolism of DB01242 can be decreased when combined with DB06413.,training
The metabolism of DB00482 can be decreased when combined with DB04868.,training
The metabolism of DB00783 can be decreased when combined with DB00313.,training
The metabolism of DB00744 can be decreased when combined with DB00544.,validation
The metabolism of DB00238 can be decreased when combined with DB00951.,training
The metabolism of DB00530 can be decreased when combined with DB09291.,training
The metabolism of DB00153 can be decreased when combined with DB00343.,testing
The metabolism of DB01194 can be decreased when combined with DB00661.,testing
The metabolism of DB00530 can be decreased when combined with DB00379.,training
The metabolism of DB00245 can be decreased when combined with DB00932.,training
The metabolism of DB00472 can be decreased when combined with DB01211.,testing
The metabolism of DB00240 can be decreased when combined with DB00661.,training
The metabolism of DB06654 can be decreased when combined with DB01211.,testing
The metabolism of DB01036 can be decreased when combined with DB00678.,training
The metabolism of DB01424 can be decreased when combined with DB00745.,testing
The metabolism of DB01159 can be decreased when combined with DB04871.,validation
The metabolism of DB01589 can be decreased when combined with DB09054.,validation
The metabolism of DB09570 can be decreased when combined with DB00857.,training
The metabolism of DB01551 can be decreased when combined with DB00257.,training
The metabolism of DB01551 can be decreased when combined with DB00254.,training
The metabolism of DB00706 can be decreased when combined with DB00496.,testing
The metabolism of DB00762 can be decreased when combined with DB00188.,training
The metabolism of DB00359 can be decreased when combined with DB06636.,training
The metabolism of DB00731 can be decreased when combined with DB06414.,testing
The metabolism of DB00637 can be decreased when combined with DB00169.,training
The metabolism of DB00865 can be decreased when combined with DB00758.,training
The metabolism of DB00934 can be decreased when combined with DB00169.,training
The metabolism of DB04871 can be decreased when combined with DB00758.,testing
The metabolism of DB00682 can be decreased when combined with DB01132.,training
The metabolism of DB00231 can be decreased when combined with DB00951.,training
The metabolism of DB00682 can be decreased when combined with DB01138.,validation
The metabolism of DB09262 can be decreased when combined with DB00270.,testing
The metabolism of DB00988 can be decreased when combined with DB06697.,testing
The metabolism of DB01159 can be decreased when combined with DB00705.,training
The metabolism of DB01036 can be decreased when combined with DB00091.,validation
The metabolism of DB06589 can be decreased when combined with DB00169.,validation
The metabolism of DB09262 can be decreased when combined with DB00188.,testing
The metabolism of DB00201 can be decreased when combined with DB00264.,validation
The metabolism of DB00818 can be decreased when combined with DB01095.,validation
The metabolism of DB00818 can be decreased when combined with DB01097.,training
The metabolism of DB00540 can be decreased when combined with DB09119.,validation
The metabolism of DB06684 can be decreased when combined with DB00622.,training
The metabolism of DB00201 can be decreased when combined with DB00263.,training
The metabolism of DB00554 can be decreased when combined with DB00203.,training
The metabolism of DB01229 can be decreased when combined with DB00440.,testing
The metabolism of DB00316 can be decreased when combined with DB00270.,training
The metabolism of DB09555 can be decreased when combined with DB00932.,validation
The metabolism of DB00481 can be decreased when combined with DB05521.,testing
The metabolism of DB00701 can be decreased when combined with DB09039.,training
The metabolism of DB00361 can be decreased when combined with DB00091.,validation
The metabolism of DB00674 can be decreased when combined with DB00907.,training
The metabolism of DB00321 can be decreased when combined with DB08816.,training
The metabolism of DB01261 can be decreased when combined with DB00440.,training
The metabolism of DB00688 can be decreased when combined with DB01259.,training
The metabolism of DB01224 can be decreased when combined with DB06595.,training
The metabolism of DB01427 can be decreased when combined with DB00976.,training
The metabolism of DB00481 can be decreased when combined with DB00091.,validation
The metabolism of DB01142 can be decreased when combined with DB00661.,training
The metabolism of DB00586 can be decreased when combined with DB00398.,validation
The metabolism of DB01576 can be decreased when combined with DB00951.,training
The metabolism of DB06176 can be decreased when combined with DB04572.,training
The metabolism of DB00865 can be decreased when combined with DB00285.,training
The metabolism of DB00865 can be decreased when combined with DB00283.,training
The metabolism of DB01424 can be decreased when combined with DB01167.,testing
The metabolism of DB01380 can be decreased when combined with DB00705.,training
The metabolism of DB00564 can be decreased when combined with DB00257.,training
The metabolism of DB00296 can be decreased when combined with DB00705.,testing
The metabolism of DB00231 can be decreased when combined with DB08816.,training
The metabolism of DB00590 can be decreased when combined with DB01075.,training
The metabolism of DB01098 can be decreased when combined with DB01097.,training
The metabolism of DB01588 can be decreased when combined with DB00254.,training
The metabolism of DB01098 can be decreased when combined with DB01095.,training
The metabolism of DB08910 can be decreased when combined with DB04868.,validation
The metabolism of DB00328 can be decreased when combined with DB00622.,validation
The metabolism of DB00665 can be decreased when combined with DB00951.,training
The metabolism of DB00169 can be decreased when combined with DB04855.,training
The metabolism of DB01020 can be decreased when combined with DB04868.,training
The metabolism of DB00772 can be decreased when combined with DB00758.,training
The metabolism of DB00363 can be decreased when combined with DB01319.,training
The metabolism of DB04898 can be decreased when combined with DB00169.,training
The metabolism of DB01104 can be decreased when combined with DB00322.,validation
The metabolism of DB04574 can be decreased when combined with DB00976.,training
The metabolism of DB00674 can be decreased when combined with DB00705.,training
The metabolism of DB00521 can be decreased when combined with DB00752.,training
The metabolism of DB01206 can be decreased when combined with DB00468.,training
The metabolism of DB00908 can be decreased when combined with DB00254.,testing
The metabolism of DB00904 can be decreased when combined with DB00503.,training
The metabolism of DB00904 can be decreased when combined with DB00501.,training
The metabolism of DB00636 can be decreased when combined with DB00196.,training
The metabolism of DB00250 can be decreased when combined with DB01104.,training
The metabolism of DB12026 can be decreased when combined with DB00976.,training
The metabolism of DB00755 can be decreased when combined with DB00619.,training
The metabolism of DB00962 can be decreased when combined with DB00227.,testing
The metabolism of DB00962 can be decreased when combined with DB00224.,training
The metabolism of DB00962 can be decreased when combined with DB00220.,training
The metabolism of DB00726 can be decreased when combined with DB06414.,validation
The metabolism of DB06267 can be decreased when combined with DB01601.,training
The metabolism of DB04938 can be decreased when combined with DB00205.,training
The metabolism of DB00313 can be decreased when combined with DB00622.,training
The metabolism of DB04938 can be decreased when combined with DB00203.,testing
The metabolism of DB01221 can be decreased when combined with DB04868.,training
The metabolism of DB00370 can be decreased when combined with DB00675.,testing
The metabolism of DB04938 can be decreased when combined with DB00208.,testing
The metabolism of DB00699 can be decreased when combined with DB00333.,validation
The metabolism of DB00321 can be decreased when combined with DB00745.,validation
The metabolism of DB01591 can be decreased when combined with DB06820.,training
The metabolism of DB00884 can be decreased when combined with DB01211.,training
The metabolism of DB01142 can be decreased when combined with DB01211.,training
The metabolism of DB00347 can be decreased when combined with DB05219.,training
The metabolism of DB01175 can be decreased when combined with DB01601.,testing
The metabolism of DB00949 can be decreased when combined with DB01167.,testing
The metabolism of DB00231 can be decreased when combined with DB00177.,training
The metabolism of DB00231 can be decreased when combined with DB00176.,training
The metabolism of DB06217 can be decreased when combined with DB06708.,training
The metabolism of DB01595 can be decreased when combined with DB00246.,training
The metabolism of DB00182 can be decreased when combined with DB01601.,training
The metabolism of DB00295 can be decreased when combined with DB01129.,validation
The metabolism of DB01186 can be decreased when combined with DB01171.,testing
The metabolism of DB00363 can be decreased when combined with DB00199.,testing
The metabolism of DB00203 can be decreased when combined with DB00951.,training
The metabolism of DB06603 can be decreased when combined with DB04868.,training
The metabolism of DB00363 can be decreased when combined with DB00196.,training
The metabolism of DB01198 can be decreased when combined with DB00482.,training
The metabolism of DB04572 can be decreased when combined with DB00343.,testing
The metabolism of DB01186 can be decreased when combined with DB00805.,training
The metabolism of DB00726 can be decreased when combined with DB01241.,training
The metabolism of DB00738 can be decreased when combined with DB00176.,training
The metabolism of DB00333 can be decreased when combined with DB00549.,training
The metabolism of DB09068 can be decreased when combined with DB00257.,training
The metabolism of DB09068 can be decreased when combined with DB00254.,validation
The metabolism of DB00333 can be decreased when combined with DB00544.,training
The metabolism of DB00889 can be decreased when combined with DB01149.,training
The metabolism of DB00451 can be decreased when combined with DB00246.,testing
The metabolism of DB00451 can be decreased when combined with DB00243.,training
The metabolism of DB00934 can be decreased when combined with DB01012.,validation
The metabolism of DB01156 can be decreased when combined with DB01319.,testing
The metabolism of DB01409 can be decreased when combined with DB01104.,validation
The metabolism of DB00409 can be decreased when combined with DB00752.,validation
The metabolism of DB08922 can be decreased when combined with DB01029.,validation
The metabolism of DB08922 can be decreased when combined with DB01023.,training
The metabolism of DB00755 can be decreased when combined with DB01259.,testing
The metabolism of DB08922 can be decreased when combined with DB01026.,testing
The metabolism of DB00675 can be decreased when combined with DB00277.,training
The metabolism of DB00675 can be decreased when combined with DB00273.,training
The metabolism of DB00675 can be decreased when combined with DB00270.,validation
The metabolism of DB06738 can be decreased when combined with DB01097.,training
The metabolism of DB06738 can be decreased when combined with DB01095.,validation
The metabolism of DB00367 can be decreased when combined with DB00254.,validation
The metabolism of DB01179 can be decreased when combined with DB01167.,training
The metabolism of DB00367 can be decreased when combined with DB00257.,training
The metabolism of DB01429 can be decreased when combined with DB00502.,validation
The metabolism of DB01429 can be decreased when combined with DB00503.,training
The metabolism of DB01429 can be decreased when combined with DB00501.,training
The metabolism of DB01126 can be decreased when combined with DB00619.,training
The metabolism of DB00363 can be decreased when combined with DB00736.,training
The metabolism of DB09297 can be decreased when combined with DB01601.,training
The metabolism of DB01576 can be decreased when combined with DB00176.,training
The metabolism of DB00731 can be decreased when combined with DB00908.,training
The metabolism of DB00731 can be decreased when combined with DB00907.,testing
The metabolism of DB01624 can be decreased when combined with DB09238.,training
The metabolism of DB00454 can be decreased when combined with DB04855.,validation
The metabolism of DB00222 can be decreased when combined with DB00224.,training
The metabolism of DB00222 can be decreased when combined with DB00227.,validation
The metabolism of DB04946 can be decreased when combined with DB00300.,training
The metabolism of DB00924 can be decreased when combined with DB00091.,validation
The metabolism of DB09101 can be decreased when combined with DB00343.,testing
The metabolism of DB06292 can be decreased when combined with DB01124.,training
The metabolism of DB00759 can be decreased when combined with DB01118.,testing
The metabolism of DB00433 can be decreased when combined with DB00333.,training
The metabolism of DB00712 can be decreased when combined with DB00224.,validation
The metabolism of DB00712 can be decreased when combined with DB00227.,training
The metabolism of DB01253 can be decreased when combined with DB01232.,training
The metabolism of DB00617 can be decreased when combined with DB00412.,validation
The metabolism of DB00455 can be decreased when combined with DB09039.,training
The metabolism of DB01591 can be decreased when combined with DB01099.,testing
The metabolism of DB00540 can be decreased when combined with DB00270.,training
The metabolism of DB00857 can be decreased when combined with DB01072.,validation
The metabolism of DB01591 can be decreased when combined with DB01091.,training
The metabolism of DB00778 can be decreased when combined with DB00343.,validation
The metabolism of DB00643 can be decreased when combined with DB01026.,training
The metabolism of DB00997 can be decreased when combined with DB00227.,training
The metabolism of DB00997 can be decreased when combined with DB00224.,testing
The metabolism of DB00997 can be decreased when combined with DB00220.,testing
The metabolism of DB00620 can be decreased when combined with DB01263.,testing
The metabolism of DB00620 can be decreased when combined with DB01264.,training
The metabolism of DB00620 can be decreased when combined with DB09074.,training
The metabolism of DB00338 can be decreased when combined with DB06636.,testing
The metabolism of DB01054 can be decreased when combined with DB00285.,validation
The metabolism of DB00705 can be decreased when combined with DB01118.,testing
The metabolism of DB06654 can be decreased when combined with DB09065.,training
The metabolism of DB01054 can be decreased when combined with DB00283.,testing
The metabolism of DB00546 can be decreased when combined with DB01171.,training
The metabolism of DB08907 can be decreased when combined with DB01118.,training
The metabolism of DB06217 can be decreased when combined with DB00705.,testing
The metabolism of DB01191 can be decreased when combined with DB00289.,training
The metabolism of DB00914 can be decreased when combined with DB01601.,validation
The metabolism of DB01191 can be decreased when combined with DB00281.,testing
The metabolism of DB01191 can be decreased when combined with DB00283.,training
The metabolism of DB01191 can be decreased when combined with DB00285.,testing
The metabolism of DB00433 can be decreased when combined with DB00752.,validation
The metabolism of DB01418 can be decreased when combined with DB01211.,training
The metabolism of DB00549 can be decreased when combined with DB00619.,testing
The metabolism of DB00327 can be decreased when combined with DB01232.,training
The metabolism of DB06739 can be decreased when combined with DB00752.,training
The metabolism of DB01418 can be decreased when combined with DB00169.,validation
The metabolism of DB11575 can be decreased when combined with DB04868.,validation
The metabolism of DB00352 can be decreased when combined with DB00244.,training
The metabolism of DB00850 can be decreased when combined with DB00857.,training
The metabolism of DB06739 can be decreased when combined with DB00758.,training
The metabolism of DB01211 can be decreased when combined with DB00273.,training
The metabolism of DB01008 can be decreased when combined with DB01211.,training
The metabolism of DB00647 can be decreased when combined with DB00243.,training
The metabolism of DB01283 can be decreased when combined with DB01015.,training
The metabolism of DB06700 can be decreased when combined with DB01263.,training
The metabolism of DB00647 can be decreased when combined with DB00246.,testing
The metabolism of DB01191 can be decreased when combined with DB00752.,validation
The metabolism of DB00655 can be decreased when combined with DB08816.,validation
The metabolism of DB06292 can be decreased when combined with DB09120.,training
The metabolism of DB00850 can be decreased when combined with DB01101.,training
The metabolism of DB04574 can be decreased when combined with DB01167.,training
The metabolism of DB00850 can be decreased when combined with DB01104.,testing
The metabolism of DB00914 can be decreased when combined with DB00333.,training
The metabolism of DB01544 can be decreased when combined with DB01685.,training
The metabolism of DB00455 can be decreased when combined with DB00472.,training
The metabolism of DB00455 can be decreased when combined with DB00476.,training
The metabolism of DB00455 can be decreased when combined with DB00477.,testing
The metabolism of DB00918 can be decreased when combined with DB04855.,training
The metabolism of DB00203 can be decreased when combined with DB00176.,validation
The metabolism of DB00612 can be decreased when combined with DB00215.,testing
The metabolism of DB00435 can be decreased when combined with DB00268.,training
The metabolism of DB13874 can be decreased when combined with DB08893.,validation
The metabolism of DB00136 can be decreased when combined with DB00320.,training
The metabolism of DB00514 can be decreased when combined with DB09119.,training
The metabolism of DB01407 can be decreased when combined with DB00268.,training
The metabolism of DB00916 can be decreased when combined with DB00359.,training
The metabolism of DB00317 can be decreased when combined with DB01242.,training
The metabolism of DB00482 can be decreased when combined with DB08865.,training
The metabolism of DB11613 can be decreased when combined with DB00715.,training
The metabolism of DB01435 can be decreased when combined with DB09119.,testing
The metabolism of DB00907 can be decreased when combined with DB01026.,testing
The metabolism of DB01197 can be decreased when combined with DB04868.,validation
The metabolism of DB00952 can be decreased when combined with DB00805.,training
The metabolism of DB00337 can be decreased when combined with DB08865.,validation
The metabolism of DB00866 can be decreased when combined with DB00458.,validation
The metabolism of DB00623 can be decreased when combined with DB04868.,training
The metabolism of DB00788 can be decreased when combined with DB00215.,training
The metabolism of DB00656 can be decreased when combined with DB00715.,training
The metabolism of DB00295 can be decreased when combined with DB00343.,training
The metabolism of DB00295 can be decreased when combined with DB00349.,training
The metabolism of DB11362 can be decreased when combined with DB01263.,validation
The metabolism of DB01624 can be decreased when combined with DB09167.,testing
The metabolism of DB11362 can be decreased when combined with DB01264.,training
The metabolism of DB00655 can be decreased when combined with DB00622.,training
The metabolism of DB01196 can be decreased when combined with DB00976.,training
The metabolism of DB00584 can be decreased when combined with DB00246.,training
The metabolism of DB06155 can be decreased when combined with DB09074.,testing
The metabolism of DB00496 can be decreased when combined with DB00752.,training
The metabolism of DB00757 can be decreased when combined with DB00705.,training
The metabolism of DB01214 can be decreased when combined with DB01087.,validation
The metabolism of DB00336 can be decreased when combined with DB04871.,training
The metabolism of DB00589 can be decreased when combined with DB00257.,training
The metabolism of DB00589 can be decreased when combined with DB00254.,training
The metabolism of DB01072 can be decreased when combined with DB01101.,validation
The metabolism of DB00778 can be decreased when combined with DB08873.,training
The metabolism of DB01023 can be decreased when combined with DB05521.,validation
The metabolism of DB00655 can be decreased when combined with DB09065.,testing
The metabolism of DB00297 can be decreased when combined with DB01263.,training
The metabolism of DB00757 can be decreased when combined with DB06708.,validation
The metabolism of DB00185 can be decreased when combined with DB00283.,training
The metabolism of DB00185 can be decreased when combined with DB00285.,training
The metabolism of DB00208 can be decreased when combined with DB00224.,training
The metabolism of DB00740 can be decreased when combined with DB06290.,training
The metabolism of DB00185 can be decreased when combined with DB00289.,training
The metabolism of DB06210 can be decreased when combined with DB00379.,training
The metabolism of DB01589 can be decreased when combined with DB00254.,training
The metabolism of DB01589 can be decreased when combined with DB00257.,training
The metabolism of DB04871 can be decreased when combined with DB09119.,training
The metabolism of DB00502 can be decreased when combined with DB09167.,training
The metabolism of DB00444 can be decreased when combined with DB01171.,validation
The metabolism of DB00334 can be decreased when combined with DB06290.,validation
The metabolism of DB06016 can be decreased when combined with DB00243.,training
The metabolism of DB06016 can be decreased when combined with DB00246.,training
The metabolism of DB00316 can be decreased when combined with DB00322.,validation
The metabolism of DB01181 can be decreased when combined with DB00715.,training
The metabolism of DB00575 can be decreased when combined with DB00199.,training
The metabolism of DB00624 can be decreased when combined with DB09167.,testing
The metabolism of DB04572 can be decreased when combined with DB00661.,training
The metabolism of DB06016 can be decreased when combined with DB01118.,training
The metabolism of DB00475 can be decreased when combined with DB00752.,training
The metabolism of DB00575 can be decreased when combined with DB00196.,validation
The metabolism of DB00584 can be decreased when combined with DB00582.,testing
The metabolism of DB01403 can be decreased when combined with DB00951.,training
The metabolism of DB06207 can be decreased when combined with DB01319.,validation
The metabolism of DB01002 can be decreased when combined with DB00289.,testing
The metabolism of DB01544 can be decreased when combined with DB06413.,training
The metabolism of DB01544 can be decreased when combined with DB06414.,validation
The metabolism of DB11817 can be decreased when combined with DB00176.,testing
The metabolism of DB09078 can be decreased when combined with DB00091.,training
The metabolism of DB00864 can be decreased when combined with DB00715.,training
The metabolism of DB08896 can be decreased when combined with DB00289.,validation
The metabolism of DB05294 can be decreased when combined with DB01149.,testing
The metabolism of DB00980 can be decreased when combined with DB00661.,training
The metabolism of DB00724 can be decreased when combined with DB00091.,training
The metabolism of DB11362 can be decreased when combined with DB05219.,training
The metabolism of DB00327 can be decreased when combined with DB00678.,training
The metabolism of DB08896 can be decreased when combined with DB00283.,testing
The metabolism of DB08896 can be decreased when combined with DB00285.,validation
The metabolism of DB01120 can be decreased when combined with DB00257.,training
The metabolism of DB11817 can be decreased when combined with DB00289.,validation
The metabolism of DB00514 can be decreased when combined with DB00745.,training
The metabolism of DB00678 can be decreased when combined with DB04855.,testing
The metabolism of DB06210 can be decreased when combined with DB01029.,training
The metabolism of DB06736 can be decreased when combined with DB00263.,validation
The metabolism of DB00661 can be decreased when combined with DB01685.,validation
The metabolism of DB01228 can be decreased when combined with DB01012.,validation
The metabolism of DB00916 can be decreased when combined with DB06595.,validation
The metabolism of DB00726 can be decreased when combined with DB12332.,testing
The metabolism of DB00213 can be decreased when combined with DB01601.,training
The metabolism of DB00444 can be decreased when combined with DB00227.,training
The metabolism of DB00444 can be decreased when combined with DB00224.,training
The metabolism of DB00843 can be decreased when combined with DB00908.,training
The metabolism of DB00444 can be decreased when combined with DB00220.,training
The metabolism of DB00339 can be decreased when combined with DB01026.,testing
The metabolism of DB01244 can be decreased when combined with DB00176.,training
The metabolism of DB00602 can be decreased when combined with DB00257.,testing
The metabolism of DB00602 can be decreased when combined with DB00254.,training
The metabolism of DB01357 can be decreased when combined with DB00205.,training
The metabolism of DB01075 can be decreased when combined with DB00907.,training
The metabolism of DB01234 can be decreased when combined with DB04855.,validation
The metabolism of DB01357 can be decreased when combined with DB00203.,training
The metabolism of DB04946 can be decreased when combined with DB04871.,training
The metabolism of DB01248 can be decreased when combined with DB00520.,training
The metabolism of DB01248 can be decreased when combined with DB00525.,training
The metabolism of DB01357 can be decreased when combined with DB00208.,training
The metabolism of DB00396 can be decreased when combined with DB00932.,training
The metabolism of DB01435 can be decreased when combined with DB01118.,validation
The metabolism of DB01173 can be decreased when combined with DB00661.,testing
The metabolism of DB00458 can be decreased when combined with DB01263.,training
The metabolism of DB00216 can be decreased when combined with DB05219.,validation
The metabolism of DB00333 can be decreased when combined with DB05219.,training
The metabolism of DB00514 can be decreased when combined with DB00398.,training
The metabolism of DB00420 can be decreased when combined with DB01685.,testing
The metabolism of DB00188 can be decreased when combined with DB00705.,training
The metabolism of DB01190 can be decreased when combined with DB01149.,training
The metabolism of DB00170 can be decreased when combined with DB00176.,training
The metabolism of DB00925 can be decreased when combined with DB00227.,testing
The metabolism of DB00201 can be decreased when combined with DB00715.,training
The metabolism of DB01154 can be decreased when combined with DB00227.,testing
The metabolism of DB01154 can be decreased when combined with DB00224.,training
The metabolism of DB06292 can be decreased when combined with DB04868.,training
The metabolism of DB09570 can be decreased when combined with DB00300.,training
The metabolism of DB01268 can be decreased when combined with DB00738.,training
The metabolism of DB00568 can be decreased when combined with DB06290.,training
The metabolism of DB01268 can be decreased when combined with DB00735.,training
The metabolism of DB00262 can be decreased when combined with DB00281.,validation
The metabolism of DB00932 can be decreased when combined with DB00446.,training
The metabolism of DB11574 can be decreased when combined with DB01149.,validation
The metabolism of DB01023 can be decreased when combined with DB08873.,training
The metabolism of DB00586 can be decreased when combined with DB01601.,testing
The metabolism of DB00455 can be decreased when combined with DB05219.,training
The metabolism of DB00843 can be decreased when combined with DB00270.,training
The metabolism of DB12332 can be decreased when combined with DB00289.,training
The metabolism of DB00333 can be decreased when combined with DB00446.,validation
The metabolism of DB12332 can be decreased when combined with DB00285.,training
The metabolism of DB12332 can be decreased when combined with DB00283.,training
The metabolism of DB12332 can be decreased when combined with DB00281.,testing
The metabolism of DB00213 can be decreased when combined with DB00268.,validation
The metabolism of DB01223 can be decreased when combined with DB01059.,validation
The metabolism of DB06176 can be decreased when combined with DB00758.,training
The metabolism of DB06176 can be decreased when combined with DB00752.,training
The metabolism of DB00213 can be decreased when combined with DB00263.,validation
The metabolism of DB00327 can be decreased when combined with DB04871.,validation
The metabolism of DB06203 can be decreased when combined with DB01319.,validation
